experiment,validation_rmse,output_file
product_store_recent_14,2.380946018053895,submission_product_store_recent_14_mean.csv
blend_product_store_weekday_0p25_product_store_recent_28_0p75,2.4042774254115655,submission_blend_product_store_weekday_0p25_product_store_recent_28_0p75.csv
blend_product_store_0p25_product_store_recent_28_0p75,2.415042743873025,submission_blend_product_store_0p25_product_store_recent_28_0p75.csv
blend_product_store_weekday_0p50_product_store_recent_28_0p50,2.4191025116160247,submission_blend_product_store_weekday_0p50_product_store_recent_28_0p50.csv
product_store_recent_28,2.424096681658292,submission_product_store_recent_28_mean.csv
product_store_recent_7,2.433803405120949,submission_product_store_recent_7_mean.csv
blend_product_store_0p50_product_store_recent_28_0p50,2.437658721884096,submission_blend_product_store_0p50_product_store_recent_28_0p50.csv
blend_product_store_weekday_0p75_product_store_recent_28_0p25,2.467947688286082,submission_blend_product_store_weekday_0p75_product_store_recent_28_0p25.csv
blend_product_store_weekday_0p50_product_store_recent_weekday_56_0p50,2.4767999433700725,submission_blend_product_store_weekday_0p50_product_store_recent_weekday_56_0p50.csv
blend_product_store_weekday_0p25_product_store_recent_weekday_56_0p75,2.4882078974767876,submission_blend_product_store_weekday_0p25_product_store_recent_weekday_56_0p75.csv
blend_product_store_0p75_product_store_recent_28_0p25,2.4910821927343743,submission_blend_product_store_0p75_product_store_recent_28_0p25.csv
product_store_recent_56,2.4962950863556306,submission_product_store_recent_56_mean.csv
blend_product_store_weekday_0p75_product_store_recent_weekday_56_0p25,2.497272630086722,submission_blend_product_store_weekday_0p75_product_store_recent_weekday_56_0p25.csv
product_store_recent_weekday_28,2.5031445740549407,submission_product_store_recent_weekday_28_mean.csv
product_store_recent_weekday_56,2.5310654542591036,submission_product_store_recent_weekday_56_mean.csv
product_store_category_weekday_blend,2.548857867667917,submission_product_store_category_weekday_blend.csv
product_store_weekday,2.548857867667917,submission_product_store_weekday_mean.csv
product_store,2.5733951881659833,submission_product_store_mean.csv
product_store_recent_weekday_14,2.6073385445151316,submission_product_store_recent_weekday_14_mean.csv
product_store_recent_weekday_7,2.8506761794007676,submission_product_store_recent_weekday_7_mean.csv
category_store_weekday,2.9716288122754264,submission_category_store_weekday_mean.csv
